Identifier,Chemical Formula,Si/Al ratio,Note
SSF000,O108Si54,1.0,Primitive P1 all-silica zeolite from IZA.
ITR000,O112Si56,1.0,Primitive P1 all-silica zeolite from IZA.
CGF000,O36Si18,1.0,Primitive P1 all-silica zeolite from IZA.
DFO000,O264Si132,1.0,Primitive P1 all-silica zeolite from IZA.
ATT000,O24Si12,1.0,Primitive P1 all-silica zeolite from IZA.
RTE000,O24Si12,1.0,Primitive P1 all-silica zeolite from IZA.
IFY000,O96Si48,1.0,Primitive P1 all-silica zeolite from IZA.
AHT000,O24Si12,1.0,Primitive P1 all-silica zeolite from IZA.
OBW000,O76Si38,1.0,Primitive P1 all-silica zeolite from IZA.
EPI000,O24Si12,1.0,Primitive P1 all-silica zeolite from IZA.
DON000,O64Si32,1.0,Primitive P1 all-silica zeolite from IZA.
OSI000,O32Si16,1.0,Primitive P1 all-silica zeolite from IZA.
UEI000,O24Si12,1.0,Primitive P1 all-silica zeolite from IZA.
CHA000,O72Si36,1.0,Primitive P1 all-silica zeolite from IZA.
UOV000,O176Si88,1.0,Primitive P1 all-silica zeolite from IZA.
SAS000,O32Si16,1.0,Primitive P1 all-silica zeolite from IZA.
EEI000,O100Si50,1.0,Primitive P1 all-silica zeolite from IZA.
BOF000,O48Si24,1.0,Primitive P1 all-silica zeolite from IZA.
EZT000,O48Si24,1.0,Primitive P1 all-silica zeolite from IZA.
CDO000,O36Si18,1.0,Primitive P1 all-silica zeolite from IZA.
POS000,O128Si64,1.0,Primitive P1 all-silica zeolite from IZA.
EMT000,O192Si96,1.0,Primitive P1 all-silica zeolite from IZA.
SFN000,O32Si16,1.0,Primitive P1 all-silica zeolite from IZA.
SVV000,O56Si28,1.0,Primitive P1 all-silica zeolite from IZA.
FER000,O36Si18,1.0,Primitive P1 all-silica zeolite from IZA.
AVL000,O84Si42,1.0,Primitive P1 all-silica zeolite from IZA.
SBT000,O96Si48,1.0,Primitive P1 all-silica zeolite from IZA.
LTJ000,O32Si16,1.0,Primitive P1 all-silica zeolite from IZA.
ZON000,O64Si32,1.0,Primitive P1 all-silica zeolite from IZA.
AFG000,O96Si48,1.0,Primitive P1 all-silica zeolite from IZA.
AEN000,O48Si24,1.0,Primitive P1 all-silica zeolite from IZA.
SBE000,O128Si64,1.0,Primitive P1 all-silica zeolite from IZA.
VET000,O34Si17,1.0,Primitive P1 all-silica zeolite from IZA.
SAT000,O144Si72,1.0,Primitive P1 all-silica zeolite from IZA.
TUN000,O192Si96,1.0,Primitive P1 all-silica zeolite from IZA.
BIK000,O12Si6,1.0,Primitive P1 all-silica zeolite from IZA.
SFS000,O112Si56,1.0,Primitive P1 all-silica zeolite from IZA.
LIO000,O72Si36,1.0,Primitive P1 all-silica zeolite from IZA.
LOS000,O48Si24,1.0,Primitive P1 all-silica zeolite from IZA.
NSI000,O12Si6,1.0,Primitive P1 all-silica zeolite from IZA.
TON000,O24Si12,1.0,Primitive P1 all-silica zeolite from IZA.
USI000,O40Si20,1.0,Primitive P1 all-silica zeolite from IZA.
UOZ000,O80Si40,1.0,Primitive P1 all-silica zeolite from IZA.
ETR000,O96Si48,1.0,Primitive P1 all-silica zeolite from IZA.
BPH000,O56Si28,1.0,Primitive P1 all-silica zeolite from IZA.
SBN000,O20Si10,1.0,Primitive P1 all-silica zeolite from IZA.
